05/21/19 19:09:12:545 | [INFO] |  |  |  | AdobeGCClientImpl |  |  | 169237 | Initializing client workflow
05/21/19 19:09:12:545 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 169237 | Trying to acquire the semaphore
05/21/19 19:09:12:545 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 169237 | Semaphore acquired
05/21/19 19:09:12:545 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 169237 | AdobeGCClient invoked from Scheduler entry, sleeping for 5 minutes to avoid disk overusage
05/21/19 19:14:12:626 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 169237 | Getting list of NGL based installed products
05/21/19 19:14:12:626 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 169237 | Querying for all HD based installed products
05/21/19 19:14:12:806 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 169237 | Successfully fetched list of installed products
05/21/19 19:14:12:806 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 169237 | Parsing response from HD
05/21/19 19:14:12:806 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 169237 | Successfully parsed response from HD
05/21/19 19:14:12:806 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 169237 | Getting NGLAppId
05/21/19 19:14:12:842 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 169237 | Returning NGLAppId
05/21/19 19:14:12:843 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 169237 | Getting NGLAppId
05/21/19 19:14:12:843 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 169237 | Returning NGLAppId
05/21/19 19:14:12:843 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 169237 | Getting NGLAppId
05/21/19 19:14:12:844 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 169237 | Returning NGLAppId
05/21/19 19:14:12:881 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
